"AreaID","Kingdom","Class","Family","ScientificName","CommonName","Superseded","NCA","EPBC","Endemicity","WetlandStatus"
"national-park-daintree","animals","mammals","Suidae","Sus scrofa","pig",,,,"II",,
"national-park-daintree","animals","mammals","Canidae","Canis familiaris (dingo)","dingo",,,,"QA",,
"national-park-daintree","animals","mammals","Muridae","Hydromys chrysogaster","water rat",,"C",,"QAI","I",
"national-park-daintree","animals","mammals","Muridae","Melomys burtoni","grassland melomys",,"C",,"QA",,
"national-park-daintree","animals","mammals","Muridae","Melomys cervinipes","fawn-footed melomys",,"C",,"QA",,
"national-park-daintree","animals","mammals","Muridae","Melomys sp.",,,"C",,"QA",,
"national-park-daintree","animals","mammals","Muridae","Pogonomys sp.","tree mouse",,"C",,"Q",,
"national-park-daintree","animals","mammals","Muridae","Rattus fuscipes","bush rat",,"C",,"QA",,
"national-park-daintree","animals","mammals","Muridae","Rattus leucopus","Cape York rat",,"C",,"QAI",,
"national-park-daintree","animals","mammals","Muridae","Rattus lutreolus","swamp rat",,"C",,"QA","I",
"national-park-daintree","animals","mammals","Muridae","Rattus sp.",,,"C",,"QAI",,
"national-park-daintree","animals","mammals","Muridae","Uromys caudimaculatus","giant white-tailed rat",,"C",,"QAI",,
"national-park-daintree","animals","mammals","Muridae","Uromys hadrourus","masked white-tailed rat",,"C",,"Q",,
"national-park-daintree","animals","mammals","Vespertilionidae","Nyctophilus bifax","northern long-eared bat",,"C",,"QAI",,
"national-park-daintree","animals","mammals","Miniopteridae","Miniopterus australis","little bent-wing bat",,"C",,"QAI",,
"national-park-daintree","animals","mammals","Emballonuridae","Saccolaimus flaviventris","yellow-bellied sheathtail bat",,"C",,"QAI",,
"national-park-daintree","animals","mammals","Hipposideridae","Hipposideros diadema reginae","diadem leaf-nosed bat",,"NT",,"QAI",,
"national-park-daintree","animals","mammals","Rhinolophidae","Rhinolophus megaphyllus","eastern horseshoe-bat",,"C",,"QAI",,
"national-park-daintree","animals","mammals","Pteropodidae","Nyctimene robinsoni","eastern tube-nosed bat",,"C",,"QA",,
"national-park-daintree","animals","mammals","Pteropodidae","Pteropus alecto","black flying-fox",,"C",,"QAI",,
"national-park-daintree","animals","mammals","Macropodidae","Dendrolagus bennettianus","Bennett's tree-kangaroo",,"NT",,"Q",,
"national-park-daintree","animals","mammals","Macropodidae","Thylogale stigmatica","red-legged pademelon",,"C",,"QAI",,
"national-park-daintree","animals","mammals","Hypsiprymnodontidae","Hypsiprymnodon moschatus","musky rat-kangaroo",,"C",,"Q",,
"national-park-daintree","animals","mammals","Peramelidae","Isoodon macrourus","northern brown bandicoot",,"C",,"QAI",,
"national-park-daintree","animals","mammals","Peramelidae","Perameles pallescens","northern long-nosed bandicoot",,"C",,"Q",,
"national-park-daintree","animals","mammals","Dasyuridae","Dasyurus maculatus gracilis","spotted-tailed quoll (northern subspecies)",,"E","E","Q",,
"national-park-daintree","animals","mammals","Dasyuridae","Phascogale tapoatafa tapoatafa","brush-tailed phascogale",,"C",,"QA",,
"national-park-daintree","animals","birds","Motacillidae","Anthus novaeseelandiae","Australasian pipit",,"C",,"QAI",,
"national-park-daintree","animals","birds","Passeridae","Passer domesticus","house sparrow",,,,"II",,
"national-park-daintree","animals","birds","Estrildidae","Lonchura castaneothorax","chestnut-breasted mannikin",,"C",,"QAI",,
